village_id,village_name,subdistrict,population,literacy_rate_pct,sc_st_pct,distance_to_town_km,has_primary_school,has_secondary_school,has_health_subcentre,has_tap_water,has_paved_road
VIL001,Bishnupur,Sundarnagar,3624,77.9,18.4,35.3,Yes,No,Yes,Yes,Yes
VIL002,Rampur,Sundarnagar,3542,49.4,16.4,3.4,Yes,Yes,No,Yes,Yes
VIL003,Kalyanpur,Chandanpur,2585,57.4,15.4,29.6,Yes,Yes,No,No,No
VIL004,Piparia,Sundarnagar,3830,85.7,65.8,10.2,Yes,Yes,Yes,No,Yes
VIL005,Gopalpur,Chandanpur,1665,86.7,50.1,27.8,Yes,Yes,Yes,Yes,Yes
VIL006,Haripur,Rampur-East,2750,61.7,26.3,27.8,Yes,Yes,Yes,Yes,Yes
VIL007,Sultanpur,Chandanpur,4203,44.6,76.1,11.1,Yes,Yes,No,Yes,Yes
VIL008,Chandpur,Sundarnagar,3455,77.4,19.6,23.5,Yes,Yes,No,Yes,Yes
VIL009,Madhupur,Chandanpur,3329,63.3,67.8,30.9,Yes,Yes,Yes,Yes,Yes
VIL010,Jagdishpur,Chandanpur,3338,45.4,74.3,43.5,Yes,Yes,No,Yes,Yes
VIL011,Belgaon,Sundarnagar,691,59.7,6.2,11.0,Yes,No,No,No,Yes
VIL012,Sonpur,Sundarnagar,2589,62.1,13.9,22.7,Yes,Yes,Yes,Yes,Yes
VIL013,Karamtoli,Rampur-East,4464,50.2,33.5,8.9,No,No,No,No,Yes
VIL014,Bhaktiarpur,Sundarnagar,3909,56.4,43.0,25.0,Yes,Yes,No,Yes,No
VIL015,Rajpur,Rampur-East,4343,43.9,66.5,20.7,Yes,Yes,No,No,No
VIL016,Fatehpur,Chandanpur,651,82.3,48.6,41.5,Yes,No,No,Yes,No
VIL017,Daulatpur,Rampur-East,905,67.9,43.0,43.3,Yes,No,No,Yes,No
VIL018,Govindpur,Sundarnagar,4246,59.8,24.8,37.4,Yes,Yes,No,Yes,Yes
VIL019,Pratapgarh,Chandanpur,4443,85.5,49.3,13.0,Yes,Yes,Yes,Yes,Yes
VIL020,Ramgarh,Sundarnagar,1630,78.2,10.4,44.4,Yes,Yes,Yes,Yes,Yes
